name_clean,name_real
sokolka,Sokółka
sokoly,Sokoły
somonino,Somonino
sosnicowice,Sośnicowice
solec_zdroj,Solec-Zdrój
sobkow,Sobków
sorkwity,Sorkwity
sompolno,Sompolno
sosnie,Sośnie
sobrado_e_bairros,Sobrado e Bairros
sosa,Sosa
sobral_da_adica,Sobral da Adiça
sobreposta,Sobreposta
souto_santa_maria_souto_sao_salvador_e_gondomar,Souto Santa Maria, Souto São Salvador e Gondomar
sobradelo_da_goma,Sobradelo da Goma
souto,Souto
soutelo,Soutelo
sortes,Sortes
sobreiro_de_baixo_e_alvaredos,Sobreiro de Baixo e Alvaredos
soeira_fresulfe_e_mofreita,Soeira, Fresulfe e Mofreita
sobral_de_sao_miguel,Sobral de São Miguel
soalheira,Soalheira
souto_da_casa,Souto da Casa
sobral,Sobral
sobreira_formosa_e_alvito_da_beira,Sobreira Formosa e Alvito da Beira
souselas_e_botao,Souselas e Botão
soure,Soure
souto_de_aguiar_da_beira_e_valverde,Souto de Aguiar da Beira e Valverde
sobral_pichorro_e_fuinhas,Sobral Pichorro e Fuinhas
sobral_da_serra,Sobral da Serra
souro_pires,Souro Pires
sortelha,Sortelha
souto_de_carpalhosa_e_ortigosa,Souto de Carpalhosa e Ortigosa
sobral_de_monte_agraco,Sobral de Monte Agraço
sousel,Sousel
sousela,Sousela
soalhaes,Soalhães
sobretamega,Sobretâmega
sobreira,Sobreira
sobrosa,Sobrosa
soajo,Soajo
souto_e_tabaco,Souto e Tabaçô
sopo,Sopo
soutelo_e_seara_velha,Soutelo e Seara Velha
solveira,Solveira
souto_maior,Souto Maior
sonim_e_barreiros,Sonim e Barreiros
soutelo_de_aguiar,Soutelo de Aguiar
souselo,Souselo
soutelo_do_douro,Soutelo do Douro
sohodol,Sohodol
socodor,Socodor
solont,Solonţ
sohatu,Sohatu
socol,Socol
sopot,Sopot
sovata,Sovata
solovastru,Solovăstru
somes_odorhei,Someş-Odorhei
socond,Socond
solca,Solca
somova,Somova
solesti,Soleşti
soveja,Soveja
sokobanja,Sokobanja
sombor,Sombor
sollentuna,Sollentuna
solna,Solna
sotenas,Sotenäs
solleftea,Sollefteå
sorsele,Sorsele
soca,Soča
sobenja_vas,Sobenja vas
sodisinci,Sodišinci
sodevci,Sodevci
sovodenj,Sovodenj
soze,Soze
sobrace,Sobrače
soteska,Soteska
sovinja_pec,Sovinja Peč
socerb,Socerb
socerga,Sočerga
sokolici,Sokoliči
sopota,Sopota
soteska_pri_moravcah,Soteska pri Moravčah
solkan,Solkan
sodinci,Sodinci
sodna_vas,Sodna vas
sotina,Sotina
sodji_vrh,Sodji Vrh
sovinek,Sovinek
sojek,Sojek
sovjak,Sovjak
sotensko_pod_kalobjem,Sotensko pod Kalobjem
sopotnica,Sopotnica
sotensko_pri_smarju,Sotensko pri Šmarju
sovice,Soviče
socka,Socka
sovra,Sovra
sobetinci,Sobetinci
sodrazica,Sodražica
solcava,Solčava
solosnica,Sološnica
sokolovce,Sokolovce
sobotiste,Sobotište
soblahov,Soblahov
sokolce,Sokolce
solcany,Solčany
solcianky,Solčianky
socovce,Socovce
sopkovce,Sopkovce
solnik,Soľník
sobos,Soboš
sol,Soľ
sokol,Sokoľ
sokolany,Sokoľany
sobrance,Sobrance
solnicka,Soľnička
somotor,Somotor
south_norwood,South Norwood
south_acton,South Acton
southall_broadway,Southall Broadway
southall_green,Southall Green
southfield,Southfield
southbury,Southbury
southgate,Southgate
southgate_green,Southgate Green
south_hornchurch,South Hornchurch
south_ruislip,South Ruislip
south_richmond,South Richmond
south_twickenham,South Twickenham
south_bermondsey,South Bermondsey
south_camberwell,South Camberwell
southfields,Southfields
south_middleton,South Middleton
south_heaton,South Heaton
south_jesmond,South Jesmond
southwick,Southwick
soho,Soho
south_yardley,South Yardley
soho_and_victoria,Soho and Victoria
sowerby_bridge,Sowerby Bridge
south_elmsall_and_south_kirkby,South Elmsall and South Kirkby
south_bank,South Bank
southcoates_east,Southcoates East
southcoates_west,Southcoates West
south_east_holderness,South East Holderness
south_hunsley,South Hunsley
