name_clean,name_real
strzalkowo,Strzałkowo
stepnica,Stepnica
stare_czarnowo,Stare Czarnowo
stargard,Stargard
stara_dabrowa,Stara Dąbrowa
st_tirso_couto_s_cristina_e_s_miguel_e_burgaes,St.Tirso, Couto (S.Cristina e S.Miguel) e Burgães
stremt,Stremţ
stalpeni,Stâlpeni
stoenesti,Stoeneşti
stolnici,Stolnici
stanisesti,Stănişeşti
strugari,Strugari
stauceni,Stăuceni
stancuta,Stăncuţa
stalpu,Stâlpu
stanesti,Stăneşti
stejari,Stejari
stoina,Stoina
stelnica,Stelnica
stolniceni_prajescu,Stolniceni-Prăjescu
strunga,Strunga
stramtura,Strâmtura
strehaia,Strehaia
stangaceaua,Stângăceaua
stanceni,Stânceni
stanita,Stăniţa
stoicanesti,Stoicăneşti
strejesti,Strejeşti
studina,Studina
starchiojd,Starchiojd
straja,Straja
stroiesti,Stroieşti
stulpicani,Stulpicani
stejaru,Stejaru
stanilesti,Stănileşti
stoilesti,Stoileşti
stroesti,Stroeşti
straoane,Străoane
stara_pazova,Stara Pazova
stockholm,Stockholm
strangnas,Strängnäs
staffanstorp,Staffanstorp
stenungsund,Stenungsund
stromstad,Strömstad
storfors,Storfors
stromsund,Strömsund
storuman,Storuman
stomaz,Stomaž
stara_fuzina,Stara Fužina
studor_v_bohinju,Studor v Bohinju
strmec_na_predelu,Strmec na Predelu
stankovo,Stankovo
stara_vas_bizeljsko,Stara vas-Bizeljsko
stojanski_vrh,Stojanski Vrh
stiska_vas,Stiška vas
strazisce,Stražišče
straza,Straža
stara_lipa,Stara Lipa
stari_trg_ob_kolpi,Stari trg ob Kolpi
straznji_vrh,Stražnji Vrh
strmec_pri_destrniku,Strmec pri Destrniku
stranska_vas,Stranska vas
studenec_pri_krtini,Studenec pri Krtini
strejaci,Strejaci
strmec_pri_polensaku,Strmec pri Polenšaku
stara_oselica,Stara Oselica
studor,Studor
stavesinci,Stavešinci
stavesinski_vrh,Stavešinski Vrh
stanjevci,Stanjevci
studence,Studence
strmec,Strmec
staje,Staje
strahomer,Strahomer
starod,Starod
studena_gora,Studena Gora
stari_trg,Stari trg
sticna,Stična
stranska_vas_ob_visnjici,Stranska vas ob Višnjici
stahovica,Stahovica
stara_sela,Stara sela
stebljevek,Stebljevek
stolnik,Stolnik
studenca,Studenca
starosince,Starošince
strazgonjca,Stražgonjca
strnisce,Strnišče
stanovisce,Stanovišče
staro_selo,Staro selo
stara_cerkev,Stara Cerkev
stari_breg,Stari Breg
stari_log,Stari Log
staro_brezje,Staro Brezje
stepani,Stepani
stari_grad_v_podbocju,Stari Grad v Podbočju
stolovnik,Stolovnik
stranje,Stranje
straza_pri_krskem,Straža pri Krškem
straza_pri_raki,Straža pri Raki
strmo_rebro,Strmo Rebro
stopce,Stopce
strensko,Strensko
strmca,Strmca
straze,Straže
stranski_vrh,Stranski Vrh
stanezice,Stanežiče
stara_cesta,Stara Cesta
strocja_vas,Stročja vas
stari_trg_pri_lozu,Stari trg pri Ložu
stari_kot,Stari Kot
stanecka_vas,Stanečka vas
stogovci,Stogovci
stoperce,Stoperce
studencice,Studenčice
stegne,Stegne
straza_pri_moravcah,Straža pri Moravčah
strahinj,Strahinj
stara_gora,Stara Gora
steske,Steske
stopice,Stopiče
stanovno,Stanovno
strezetina,Strezetina
strjanci,Strjanci
strmec_pri_ormozu,Strmec pri Ormožu
strojici,Strojiči
strunjan,Strunjan
stara_susica,Stara Sušica
stara_vas,Stara vas
strane,Strane
studeno,Studeno
strukovci,Strukovci
stari_dvor,Stari Dvor
strojna,Strojna
strmec_pri_sv_florijanu,Strmec pri Sv. Florijanu
starihov_vrh,Starihov Vrh
stranska_vas_pri_semicu,Stranska vas pri Semiču
strzisce,Stržišče
stare_slemene,Stare Slemene
strtenik,Strtenik
starse,Starše
stanetinci,Stanetinci
stara_gora_pri_sentilju,Stara Gora pri Šentilju
straska_gorca,Straška Gorca
straza_na_gori,Straža na Gori
stara_bucka,Stara Bučka
stopno,Stopno
stranje_pri_skocjanu,Stranje pri Škocjanu
stanise,Staniše
stara_loka,Stara Loka
stirpnik,Stirpnik
strmica,Strmica
strtenica,Strtenica
